Reviews,polarity,subjectivity,label
works great but one big bughave settings join meetings with video off yet the app randomly turns the video without knowledge might when phone loses signal and then reconnects but stillhuge privacy concern,1.3877787807814457e-17,0.36250000000000004,positive
poor,-0.4,0.6,negative
tried use the app formeeting but one could hear nor couldhear them tried rejoining the meetingcouple times and checked all permissions had been allowed settings somissed out important part training because this disappointing,-0.09999999999999998,0.85,negative
does not work correctly with corporate sso server unfortunately for whentry joinmeeting the application logout additionally show merequest download version for android butuse exactly how can that the application showsrequest download itself very strange,-0.07875,0.36125,negative
couldnhear anything suchshame was looking forward this,0.0,0.0,neutral
have not access itlimited phone,0.0,0.0,neutral
audio does not work for android tried their fixes online still nothing,0.0,0.0,neutral
poor could not download video,-0.4,0.6,negative
error code wont let install,0.0,0.0,neutral
your app not installing phone,0.0,0.0,neutral
donget one bit,0.0,0.0,neutral
worst app ever,-1.0,1.0,negative
why explanation for the permission for location including precise location,0.4,0.8,positive
nothin,0.0,0.0,neutral
garbage,0.0,0.0,neutral
will not work for,0.0,0.0,neutral
never workshave android edge operation android cant even,0.0,0.0,neutral
connect tosimple meeting where the host has iphone thumbs down,-0.15555555555555559,0.2888888888888889,negative
really hate lots time ruin meeting but any response andhave booked for class butam not able start online class,-0.525,0.7625,negative
very bad they should use mac app,-0.9099999999999998,0.8666666666666667,negative
unistalled and downloaded again with out sound,0.4,0.4,positive
signing through facebook does not work you will have create account before joining the meeting opening through browser smartphone tablet doesnwork either sends you the play store,0.0,0.0,neutral
useless mobile too complicated,-0.5,0.6,negative
warned for anybody not the you give the app permission use your phone and text msgs outgoing calls and texts are made tous number you will charged arm andleg for long distance fees your service provider for using this app,-0.05,0.4,negative
horrible,-1.0,1.0,negative
still downloading afterhalf hour does not seem right,0.2857142857142857,0.5357142857142857,positive
been trying download this app for more tgan hours this starting think why botherfeel itswaiste time,0.25,0.3,positive
power changing,0.0,0.0,neutral
having issue signing,0.0,0.0,neutral
trying download and itnot happening sucks,-0.3,0.3,negative
unable join,-0.5,0.5,negative
good app,0.7,0.6000000000000001,positive
will change rating someone explains how record meetings and how open ppt files,0.0,0.5,neutral
will not work android,0.0,0.0,neutral
havesamsung phone and this app not cooperating with says its,0.0,0.0,neutral
not availabe,0.0,0.0,neutral
canhear nothing,0.0,0.0,neutral
think its too heavy run phonee phone restarts every timetry joinmeeting,-0.2,0.5,negative
canhear,0.0,0.0,neutral
does not work properly too slow voice,-0.15000000000000002,0.25,negative
whentry uninstall zoom app reboots phone every time,0.0,0.0,neutral
zoom sucks there should not betime limit all one should have pay anything use this app all,-0.3,0.3,negative
stucked all the time,0.0,0.0,neutral
use for sometime donlike lots lags sometimes drops and unreliable,0.0,0.0,neutral
every timeve had rely this for business becauseclient preferred skey down,-0.15555555555555559,0.2888888888888889,negative
absolute garbage app one timecanhear next timecantalk itnot like trying teleport and doesnwork itjust the basic functions that this app lacking,0.06666666666666667,0.3416666666666666,positive
wouldndownload,0.0,0.0,neutral
woneven download,0.0,0.0,neutral
think was terrible,-1.0,1.0,negative
absolutely useless the most pointless conference call app ever really,-0.012499999999999997,0.35,negative
angry that you canhear anything unless you dial separately and then,-0.5,1.0,negative
that doesneven work,0.0,0.0,neutral
heavy hell web based option stop forcing people download useless apps,-0.35,0.35,negative
tried logging from the app well web says network connection failed everytime,-0.5,0.3,negative
candownload says pending,0.0,0.0,neutral
sound repeat again and again,0.4,0.4,positive
sound doesnt work whenevertry joinmeeting the mobile appcanhear anything,0.4,0.4,positive
happy,0.8,1.0,positive
hate you zoom oofffhate online classes,-0.8,0.9,negative
privacy,0.0,0.0,neutral
very bad,-0.9099999999999998,0.8666666666666667,negative
bad,-0.6999999999999998,0.6666666666666666,negative
terrible app better use google meet something,-0.25,0.75,negative
itvery harmful app steal our data alsodonwant use chines app,0.0,0.0,neutral
worst,-1.0,1.0,negative
ithorrible itvery laggy and bad quality,-0.6999999999999998,0.6666666666666666,negative
every time network problem,0.0,0.0,neutral
best app,1.0,0.3,positive
spy,0.0,0.0,neutral
itnot installing laptop,0.0,0.0,neutral
hanging,0.0,0.0,neutral
video not appear couldget,0.0,0.0,neutral
unable access this app can you pls help,-0.5,0.5,negative
very bad app,-0.9099999999999998,0.8666666666666667,negative
very bad lacking much problems,-0.35499999999999987,0.5333333333333333,negative
impossible stay connected tomeeting,-0.6666666666666666,1.0,negative
waste time,-0.2,0.0,negative
very poorhave had all meetings this week disconnected zoom during the meetingshave reported this zoom and only hadgeneric replyamlicensed user paying montham very dissatisfied with this service and actively looking forbetter service elsewherewould not recommend zoom the moment,0.06666666666666668,0.55,positive
literal garbage you could pick any number better options,0.5,0.5,positive
please make virtual background possible android,0.0,1.0,neutral
trying download zoom macbook and the only option its giving download onmobile phone thatve not used since last october which has sim internet connection and not wongive any other options not even this macbookm wondownload this macbook not only that whentried joinmeeting and put the audio said macbook doesnsupport audio sogot soundhad back ipad whichonly have click the app get intomeeting you caneven put clickable apps onmacbook whats the point this zoom app wondownload onto the machine you actually,-0.020833333333333332,0.4236111111111111,negative
uselesswas joinzoom wedding event tried for minutes download the app got supreme runaround not geezer friendly ended playing solitaire never got the app,0.375,0.5,positive
used once and then uninstalled but google play store still shows installed stupid thatcanremove,-0.7999999999999999,1.0,negative
itkilling students lifeee internet wasting for this,0.0,0.0,neutral
hangouts exists,0.0,0.0,neutral
reinstalled the app two three times but its not opening,0.0,0.0,neutral
how can installed zoom app please tell fast because online class going,0.2,0.6,positive
face dificulties install this app laptop why,0.0,0.0,neutral
heycould not sign zoom app please tell something resolve the problem,0.0,0.0,neutral
cannot get signed download the app locked out for then went back and could not download the app phone and cannot sign with google account google play havemeeting tomorrow looks bad for meam usingsamsung and gmail address should work said invalid and does not work withpassword changewill give one star for getting lost and help,-0.3499999999999999,0.3333333333333333,negative
have tried and tried get tozoom meeting with luck over,0.0,0.0,neutral
worst app not working phone,-1.0,1.0,negative
have installed this app huawei android phone play store says installed butcansee the app icon homescreen anyone can help,0.0,0.0,neutral
kept installing google verifies address but the app never surface phone,0.0,0.0,neutral
lakh plus zoom login details for sale dark web,-0.15,0.4,negative
cannot even get into your computer,0.0,0.0,neutral
not good,-0.35,0.6000000000000001,negative
just dont like,0.0,0.0,neutral
sharing data very bad,-0.9099999999999998,0.8666666666666667,negative
supposedcancelled membership and they charged for another monthwill give you stars solve this,0.0,0.0,neutral
poor audio and poor connection and why wonit work for connex laptop please tell meeeee now must work for all device,-0.4,0.6,negative
porque puedo instalar esto sale que tengo instalado pero asi tengo instalado ningun dispositivo,0.0,0.0,neutral
takes too long download your tablet,-0.05,0.4,negative
have installed zoom cloud meetings app from google play store and showing installedam not able find the location where installed and how activate zoom helpline chat not understanding what issue can any one inform the path where the app installed,-0.25,0.625,negative
this app isjoke not working android smartphone cannot get audio video,0.0,0.0,neutral
this app horrible poorly works and steals your information,-0.7,0.8,negative
helloc,0.0,0.0,neutral
unable watch onlaptop,-0.5,0.5,negative
kaise iske profile banaya,0.0,0.0,neutral
very bad app plz delete all from your mobile,-0.9099999999999998,0.8666666666666667,negative
not safe,-0.25,0.5,negative
whycannot install the app,0.0,0.0,neutral
zoom app downloaded mobile but unable connect laptop,-0.5,0.5,negative
terrible,-1.0,1.0,negative
whentry joinmeetingcan see everyone clearly buthave sound andcan not enable micwent through all the troubleshootingcan think uninstall and reinstall app still doesnt work enable all app permissons for the app still does work check mic not muted checked try pushing the enable audio butoon app does work just nope uninstall use something else that works,0.25,0.39166666666666666,positive
never ever clear voice during meetings and continuous disconnection during all the meetings,0.10000000000000002,0.3833333333333333,positive
dont will not secure,-0.2,0.6,negative
totally confusing setup and came with some gobbledegook error message computer speak fairly typical really software geeks zoom zoom cloud for example who knows does work with opera browser apparently not when you download doesneven confirm has successfully installed,0.09166666666666666,0.4800000000000001,positive
trying download but automatically down load mobile plz guide,-0.15555555555555559,0.2888888888888889,negative
hell app uses most the mobile data,0.5,0.5,positive
cannot get this app onto home screen badhave many meetings and cannot participate any lost tried all the waysi knew,0.5,0.5,positive
govt india declare unsafe also found out that hackers sell zoom video app data for approx lakh that around usd this app not safe allam terminating account right away hope they didnsell data already boycottzoom,0.01785714285714285,0.5178571428571428,positive
have downloaded twice asked forpassword once how dolog formeeting cannot work out how get zoom,0.0,0.0,neutral
since the updatecontinually drop out the meetingam really disappointing,-0.6,0.7,negative
audio permissions granted checked settings tried connecting headphones via jack neither works doc page not helpful seems show old information,0.1,0.2,positive
not safe itchinese item that doesnlast long,-0.15,0.45,negative
bad experience,-0.6999999999999998,0.6666666666666666,negative
chines app,0.0,0.0,neutral
this mademess phone reset setting all apps had use this app dochat with insurance find other apps phone were all screwy make sure nothing was left behind this thingdidreset phone over,-0.0062500000000000056,0.4909722222222222,negative
this app recently many hackers activities going newyork time say many accounts data cheating this app,0.5,0.5,positive
just take down forfew months students donhave deal with,-0.15555555555555559,0.2888888888888889,negative
not downloaddownloaded this phone and has ruined phoneuninstalled with hours but sincedownloaded the app has restarted its own repeatedlytalked withservice technician for phone and the service rep cando anything but tell take torepair place,0.6,1.0,positive
super laggy the point being unusable meeting recordings also fail load halfway through super annoying,-0.15833333333333335,0.6333333333333333,negative
cannot even install this app please help,0.0,0.0,neutral
tried two tables and two laptops and cell done does not work anythinghave donwaist your unless your device less than two years old,-0.033333333333333326,0.13333333333333333,negative
this sucks,-0.3,0.3,negative
bad bad,-0.6999999999999998,0.6666666666666666,negative
how dosign intomeeting,0.0,0.0,neutral
canget intomeeting start one,0.0,0.0,neutral
still there should zero rating,0.0,0.0,neutral
badest app ever,0.0,0.0,neutral
doesnt work laptop and saysmust usephone,0.0,0.0,neutral
could not get play and very irritated whatcollosal waste time,0.0,0.15,neutral
doesnt work,0.0,0.0,neutral
downloaded this app use for school and tells its installed but there nothing there something wrong with the app what shoulddo now causeneed urgently for school how doaccept requests ifjust sign without downloading the app canfix the problem and let know,-0.5,0.9,negative
horrible app,-1.0,1.0,negative
qua,0.0,0.0,neutral
after days downloading canfind the app even though says suitable for mobile and,0.55,0.75,positive
shows installed but the icon does not show anywhere the laptop screen can somebody please help,0.0,0.0,neutral
howuse,0.0,0.0,neutral
ittoo heavy app,-0.2,0.5,negative
devhave been using this for year and never hadproblem after the phone got updated nougat the app making the whole phone audio mute oncestart the apphad restart get the audio backam using miui appreciate can fixed,0.15000000000000002,0.30000000000000004,positive
basic features donwork correctly particularly link handling you canclickmeeting url and have the app pop open and audio will route meetings bluetooth and thereno way transfer handset even you haveheadset the also unclearg the speaker control and annoying speaker default finally components are hinted suchway that security managers lastpass think meeting numbers are passwords and try save them,-0.12666666666666668,0.5716666666666667,negative
solve math problems with brother and the picture always out focus and there way readjust the focus the camera miserable,-1.0,1.0,negative
audio issues couldnhearword that was said the meeting,0.0,0.0,neutral
amazingly the linux experience has gotten even worse seems force itself all virtual desktops with way disable itpreviously only saw that with wayland but now xorg doing too any timeshare the remote ends shrinks down unusably small window that makes nearly impossible see any listener reactions mic volume seems some form dev random every time you start the app which always becausekillall whenm done overall unimpressive star,-0.16358024691358022,0.54320987654321,negative
the app simple use and configure however once disconnected impacts the data connectivity,0.0,0.35714285714285715,neutral
not sure how work meeting,-0.25,0.8888888888888888,negative
choppy,-0.2,0.2,negative
zoom ainworking uaeguess could you please work thatso much,0.2,0.2,positive
need,0.0,0.0,neutral
usefully,0.3,0.0,positive
why you need access usergoogle drive may having personal information,0.0,0.3,neutral
good,0.7,0.6000000000000001,positive
okay app but could better because when any participant joins from their android phone their audio low they are using the loudspeaker their phonethink issue with zoomaudio algorithms android devices since other video calling apps donhave the same issue the audio gain needs increased also when anyone tries join donmake the default audio method isprompt asking which audio source use since very often non techy participants are expect,0.1392857142857143,0.35714285714285715,positive
whenam clicking the sign button showspop bar which containsmessage that internet connection failed sign updonknow what further please help with your kind suggestion,0.033333333333333326,0.5666666666666668,positive
the permissions this app requires donmake sense with what doesam not comfortable poking itnose every area phonehave use for one meeting once doneam getting rid,-0.2,0.8,negative
tried using multiple devices and was unable hear the speaker who was not muted according other meeting attendees very sad miss this meeting,-0.31875,0.46875,negative
professer uses this online lecturesusually use the computer but since brokehad usetablet instead the audio doesnt work when during the meetings socanhear his lectures,0.0,0.0,neutral
the description mentions screen sharing howeveram not able find figure out far its basically justwatered down version facetime,-0.10185185185185186,0.637962962962963,negative
the app good but too many problems hearing persons clearly,0.43333333333333335,0.49444444444444446,positive
nice one,0.6,1.0,positive
didnauto mute default whenjoined despite showing indication,0.0,0.0,neutral
thatwas muted absolute deal breaker addingstar because they seem,0.2,0.9,positive
care about the app and contacted address,0.0,0.0,neutral
doesnwork edge used work beforem guessing related update the appcan sign but none contacts show andkeep getting this message constantly appear and disappear that says click activate your messenger course nothing changes whentry click ittried clearing app data cache reinstalling and nothing works useless when worked was particularly annoying answercall the computer also running zoom but the phone kept ringing and ringing,-0.325,0.45833333333333337,negative
get lost,0.0,0.0,neutral
works but the audio are not coming out bluetooth headset just working down the wired,-0.15555555555555559,0.2888888888888889,negative
ever sinceve updated wonwork please fix helpusesamsung tablet and everyone uses this app meetings socanchange itreally need attend meeting please help thank,0.0,0.0,neutral
candownload,0.0,0.0,neutral
user experience leaveslot desired even after video training mobile app and computer app totally different functionally great potential but not intuitive,0.26666666666666666,0.7833333333333333,positive
donrecieve notifications only whenopen the app they already,0.0,1.0,neutral
itnot very user friendly the little buttons the bottom whenm using tablet messes with the buttons the bottom tablet whenever you dovideo share ormean screen share something like that then either shuts off the person canhear you itjusthassle really really itnot very user friendly,0.19374999999999998,0.3833333333333333,positive
its sad one important meeting got recording with but there not video itdonknow what now,-0.04999999999999999,1.0,negative
you canscreen share all types google drive file types you cansee yourself video nor flip you camera from front rear while presenting like you can ios that was always useful during meetingleft ios for android and now forced use desktop verison meet because the lack features the mobile app compared ios which sucks becauselove walk and talk whatup with that zoom,-0.10000000000000002,0.16666666666666666,negative
iin uae andm not sure that the reason whycannot sign keep connecting but never connectedwould appreciate you can guide and give any solution with this,-0.25,0.8888888888888888,negative
price high india ruppes not support review,0.16,0.5399999999999999,positive
app totally useless without working push notificationscanbelieve,-0.5,0.2,negative
app fromcompany this size canget something simple,0.0,0.35714285714285715,neutral
notifications right mine donwork unlesshave the app open and even,0.14285714285714285,0.5178571428571428,positive
with open the background stops receiving notifications afterfew,0.0,0.5,neutral
minutes whenloggedsupport ticket with zoomgot told could take,0.0,0.0,neutral
weeks sort howm supposed tell that all staff who use,0.0,0.0,neutral
used foryear each time there issoftware update android data records disappear ituseless aslong term health monitor other than that was great,0.3375,0.5625,positive
its good,0.7,0.6000000000000001,positive
windows email zoom rooms,0.0,0.0,neutral
basically works but pales comparison the iphone appcanfigure out for the life how savemeeting even thoughve connected dozens timesam logged lots little quality life improvements the ios app that just are not present this onewould much happier theyeven adddrop down for recent meeting ids this exists literally every other platform zoom supports stands the only waycan connect tomeeting manually type the everytime open calendar find the meeting and clickzoom link inside the description,-0.03350694444444445,0.3892361111111111,negative
zoom has rencently started disconnecting connection samsung galaxy,0.0,0.0,neutral
first time using the app pixel and caused the phone shut off due overheating before that sudden interruption the call was fine,0.13541666666666669,0.4270833333333333,positive
recent update has caused app not work with chrome book version use zoom frequently and need findwork around solve the issue,0.05,0.275,positive
views clean enlarges well would nice chats can shut off chats between attendees annoying they cover much the screen too much oncell phone,0.11333333333333333,0.6000000000000001,positive
friend got and tried video chat started squeaking really loudcouldnt even hear her,0.2,0.2,positive
horreble,0.0,0.0,neutral
sorry butcould not hear anyone the meeting,-0.5,1.0,negative
app having problem opening,0.0,0.0,neutral
when works its goodcant ever get the audio work automatically all thishate missing meeting chats etchave android and its very difficult,-0.42500000000000004,0.525,negative
extremely long download mobile itnot too stable video cuts out,-0.05,0.4,negative
sound has static samsung note,0.45,0.65,positive
nice app but could have been lighter than,0.6,1.0,positive
impossible download app several attempts made,-0.3333333333333333,0.5,negative
not getting notifications for new messages,0.13636363636363635,0.45454545454545453,positive
rxffd trdtx rrrxfxxfxftdxxxxdxxt yeah ball where about how you about,0.0,0.0,neutral
this app works awesome,1.0,1.0,positive
just downloaded zoom onto tab thatcould participate intraining webinar however whentried open the appgoot error message not suppported this device really,0.1,0.35,positive
couldnget complete the down load just keeps running and running,-0.02777777777777779,0.34444444444444444,negative
was asked use zoom for interview ended using whatsapp video call sorry,-0.5,1.0,negative
never notifies messageschecked settings and set,0.0,0.0,neutral
notify even when the desktop app active but still doesnwork,-0.13333333333333333,0.6,negative
long download,-0.05,0.4,negative
iso disappointed that the free version kicks you out aftercertain amount time and asks you pay month they would better add extra features upgrade because nowdoneven wanna use otherwise call quality was pretty good,0.18333333333333335,0.625,positive
please add samsung and googlepen support the whiteboard share feature,0.0,0.0,neutral
other apps use the camerajust view them butcant start camera,-0.125,0.375,negative
very slow for call uae need know person who read messages not voice and video clarity level need increase connection issue even full coverage wifi work morell suggest all other team,-0.05500000000000003,0.4816666666666667,negative
with free spacecan not easily still download the app eating datacan not get downloaded its getting frustrating,-0.07222222222222223,0.8444444444444444,negative
please update the app consumes phonebattery,0.0,0.0,neutral
only wish that they would not auto start video the moment you opened the app you going get people firedll update stars once you google hangouts does verify you are ready start into conference and can adjust your settings,0.1,0.75,positive
way find people,0.0,0.0,neutral
doesnt find gmail saved contacts most android users should know not save your contacts the phone but your gmail account seems zoom only looks for contacts saved the phone because cannot findsingle contact,0.25,0.75,positive
loved the app the beginning allows for more users group chat,0.6,0.65,positive
and video conference than most services however the last few weeks,0.09999999999999999,0.2222222222222222,positive
months for that matterhave not been able receive any,0.5,0.625,positive
notifications and itvery frustratingwill back and have days worth,0.15,0.05,positive
conversations thatve missed,0.0,0.0,neutral
was notgood experience for very choppy video and soundwas ongood connection,-0.26,0.26,negative
mute doesnt work pixelwas inmeeting with team only find out everyone knewwas the shower because they could hear the water running not cool,-0.0875,0.825,negative
can not get,0.0,0.0,neutral
not able download its loading for long time,-0.15,0.5125,negative
good but the privacy policy very scary,0.024999999999999967,0.8,positive
warning latest update rly buggy getting notifications but messages are updated and shown app itself force close fixed this but unsure for how long following update made things even worse way breakgood messenger devs,0.02999999999999998,0.44000000000000006,positive
this app took away from netflix,0.0,0.0,neutral
poor reception,-0.4,0.6,negative
video quality good,0.7,0.6000000000000001,positive
its not useful,-0.15,0.0,negative
app has much potential but itso badly constructed and has many faults makes too frustrating use,-0.14999999999999997,0.7666666666666666,negative
latest update broke the tablet view,0.5,0.9,positive
audio quality poor integration with google calendar good but does not work with work profile phone cannot sign zoom from mobile app overallbelow average experience,0.04999999999999998,0.5333333333333333,positive
there are many bugs admin please fix this very useful app,0.445,0.25,positive
chettha app,0.0,0.0,neutral
cant install,0.0,0.0,neutral
whenm inmeeting video camera pauses whentype the chat,0.0,0.0,neutral
couldnclick the share screen button the pop,0.0,0.0,neutral
just everyone knows these geniuses have never used this app they set,0.0,0.0,neutral
the default audio and video running,0.0,0.0,neutral
tried download the appwanted joinmeeting but kept requesting,0.0,0.0,neutral
cant hear the sound,0.4,0.4,positive
often getting disconnected,0.0,0.0,neutral
sux,0.0,0.0,neutral
how canchange device,0.0,0.0,neutral
ithas been working okay desktop until recently wheneverset formeeting when its started unable use since whenclick open hides the task bar the edge the computer screen what could the problemneed help because therealot that missing,-0.04,0.36,negative
how download,0.0,0.0,neutral
android user here and andcannot connect the audio all althoughhave given every permission bad app,-0.6999999999999998,0.6666666666666666,negative
just candownload loads and loads,0.0,0.0,neutral
problem installation,0.0,0.0,neutral
afterinstalled the appcouldnfind icon open,0.0,0.5,neutral
says app will added device soon when and where,0.0,0.0,neutral
the momentwouldnrecommend this anyone please puttutorial elderly people can understand itcant even tell whetherm the right zoom,0.2857142857142857,0.5357142857142857,positive
canget this downloaded computer need some help please and will happy change rating,0.8,1.0,positive
too many steps get this installed,0.5,0.5,positive
cant install laptop with wndows automatically installing android phone cant fix the prob pls help,0.0,0.0,neutral
wont let daughter get she need for school she wants call her friends,0.2,0.1,positive
wagner mendes tive grande dificuldade abrirlinkmesmo caiu algumas vezessisma ficar ligado meu telefone quando preciso que fique ligado computador gostaria poder ter link para liga direta pois parece que sempre tenho caminhoser percorrido,0.0,0.0,neutral
does not work for apple,0.0,0.0,neutral
can you please tell how uninstall zoom asinstalled incorrectly and now need start again thankyou,0.0,0.0,neutral
installed zoom samsung android phone which seemed work fine then tried install zoom lap top wel but the download kept telling was already installed asssuming phone wisdomdeleted from phone then attempted install again laptop nice try the download window still tells downloaded already whichknow its not how candownload laptop only download,0.37916666666666665,0.75,positive
want install this app laptop but failed please guide,-0.5,0.3,negative
ift would workedd tell you,0.0,0.0,neutral
zoom not working liky before,0.0,0.0,neutral
lag much,0.2,0.2,positive
just slow for,-0.30000000000000004,0.39999999999999997,negative
cannot get into the meeting,0.0,0.0,neutral
que des probl mes son sur portable sur ordi,0.0,0.0,neutral
why only minutes but whatever the schedule time should given the client for meeting min not enough for meeting,0.0,0.75,neutral
not able sign asam unable set password login,-0.375,0.5625,negative
taxiways,0.0,0.0,neutral
takes your batture and does not insatll work this app work better and not hardwould use more ofthen,0.5,0.5,positive
itbe great come with instructions while new meetings and just installation occurs,0.4681818181818182,0.6022727272727273,positive
need have more time let people interact with their group meetings more,0.5,0.5,positive
frequently getting stuck,0.1,0.3,positive
dont know yet,0.0,0.0,neutral
very poor directions,-0.52,0.78,negative
unable share while meeting,-0.5,0.5,negative
unable download the app,-0.5,0.5,negative
hello sir,0.0,0.0,neutral
ibarely getting into this app,0.0,0.0,neutral
good for,0.7,0.6000000000000001,positive
sound was terrible,-0.3,0.7,negative
does not always work perfectly,1.0,1.0,positive
canunderstand the process,0.0,0.0,neutral
zoom share feature lacking the interchangeable sharemust exit one before using the other share options zoom should allow switching between share features also whenshareyoutube video zoom mobile only display the link this bad please fix this the shared youtube thumbnail displayed this the industry standard screen capture whiteboard cannot import images pdf files cannot share files dynamic share switching,-0.16499999999999998,0.4416666666666666,negative
finding hard download app,-0.2916666666666667,0.5416666666666666,negative
way test change audio settings,0.0,0.0,neutral
taking hours load,0.0,0.0,neutral
what the error code,0.0,0.0,neutral
iunable download,0.0,0.0,neutral
the android version this app terrible when creatingmeeting not possible sync your outlook calendarhave seen screenshots and articles showing that you can ios app whencreatemeeting doesnadd outlook calendar have that manually and thatannoying the video quality good the audio quality but the connectivity third party apps bad please fix this make par with your ios app,-0.19999999999999998,0.6533333333333333,negative
meeting was freezing and coming and out,0.0,0.0,neutral
app keeps crashing closes suddenly repeatedly throughout minute call without notice this happens while hooked ultra strong wifi this does not happen the web version just the mobile app please contact with any advisement,0.21666666666666665,0.6166666666666667,positive
for some reason the app keeps kicking off the callve been for the last couple days like every couple minutes issues whenaccess the same call ondifferent device though,0.0,0.09583333333333333,neutral
zoom notification wongo away unlessrestart phone constantly saysm inmeeting even though itclearly ended,0.0,0.3333333333333333,neutral
too confusingcanfigure out,0.0,0.0,neutral
zoom crowd meeting,0.0,0.0,neutral
how dowatchrecording from link using the app,0.0,0.0,neutral
canhear audio,0.0,0.0,neutral
this available india location,0.4,0.4,positive
doesnwork properly sudan,0.0,0.1,neutral
the audio doesnwork properly,0.0,0.1,neutral
ihave already installed phone butcouldnt able install,0.5,0.625,positive
canhear audio reinstalled app and did all the troubleshootsm inclass whereneed this app onceweek and would nice hear whatbeing said headphones dondo anything,0.6,1.0,positive
okay are day our meetings theres only the meetingkeep getting dropped have rejoin the meeting like every few minutes the sound was echoing computerish help,0.175,0.5,positive
share screen refuses share video sound the mobile app there are options optimize sound and video the mobile app basically the mobile app sucks,0.16666666666666666,0.3666666666666667,positive
sound stopped both aps phone and computer,0.4,0.4,positive
good communication experience but truly horrible,-0.15000000000000002,0.8,negative
would like give star when you add india country zoom app,0.0,0.0,neutral
wont open let downloadve used before,0.0,0.5,neutral
the latest app version keeps crashing please fix,0.5,0.9,positive
becoming more unusable when onzoom call still allows your mobile phone ring over the top the zoom callmust the only person who uses the zoom phone thephone looking ring central itgetting more unusable the best now you are onzoom call and another soon call comes forget about the app stupid doesnknow your oncall and runs anyways louder than hell nowm deaf,0.26875000000000004,0.6125,positive
problem downloading the app,0.0,0.0,neutral
not soo good voice was disconnecting between program and also disconnect itself after some time then again reconnect between the program,0.7,0.6000000000000001,positive
outdated emojis not showing when sent from desktop says just emoji notification doesnalways pop needs more work feels mobile like software beta,0.04999999999999996,0.5666666666666667,positive
just okay,0.5,0.5,positive
somwwhat works often buggy and annoying,-0.8,0.9,negative
trying download the app however has been over hour and not downloadedmissedverypirrant meeting,0.0,0.0,neutral
not sure why there way simply sharemeeting link you have through all this brouhaha pull the link just putmeeting link that easy grab and copy whatso hard about that concept,-0.027083333333333334,0.6552579365079365,negative
cant hear anything,0.0,0.0,neutral
when itmy time connect with coach ifclick join phone automatically goes blackcanhear his voicecansee any picturehave same meeting less than miniutesneed help,-0.08333333333333333,0.09583333333333333,negative
not the mark,0.0,0.0,neutral
sometimes ifopen the app phone running android and either call have the app call meam unable mute unmute myself the worst whencanmute myself even ifmute myself the zoom session and phone call,-0.75,0.75,negative
