Reviews,polarity,subjectivity,label
when try to join meeting can see everyone clearly but have no sound and can not enable my mic went through all the troubleshooting can think of uninstall and reinstall app still doesnt work enable all app permissons for the app still does nt work check if mic is not muted checked try pushing the enable audio butoon in app does nt work just nope uninstall use something else that works,-0.049999999999999996,0.39166666666666666,negative
never ever clear voice during meetings and continuous disconnection during all the meetings ,0.10000000000000002,0.3833333333333333,negative
dont it will be not secure ,-0.2,0.6,negative
totally confusing setup and came up with some gobbledegook error message in computer speak fairly typical really of software geeks is it zoom or zoom cloud for example who knows does it work with opera browser apparently not when you download it it doesn even confirm it has successfully installed ,0.09166666666666666,0.4800000000000001,negative
i am trying to download in my pc but it automatically down load in my mobile plz guide me,-0.15555555555555559,0.2888888888888889,negative
hell app uses most of the mobile data,0.5,0.5,negative
i cannot get this app onto my home screen so bad have so many meetings and cannot participate in any so lost tried all the waysi knew,-0.09999999999999992,0.5833333333333333,negative
 ,0.0,0.0,neutral
govt of india declare is unsafe also found out that hackers to sell zoom video app data for approx 23 lakh that around 29 987usd this app is not safe at all am terminating my account right away hope they didn sell my data already boycottzoom,0.01785714285714285,0.5178571428571428,negative
i have downloaded twice asked for password once how do log in for meeting cannot work out how to get in to zoom ,0.0,0.0,neutral
since the update continually drop out of the meeting am in really disappointing,-0.6,0.7,negative
no audio permissions granted checked in settings tried connecting headphones via bt or jack neither works doc page not helpful as it seems to show old information ,0.1,0.2,negative
not safe it chinese item that doesn last long,-0.075,0.24166666666666667,negative
bad experience,-0.6999999999999998,0.6666666666666666,negative
chines app,0.0,0.0,neutral
oh this made mess of my phone it reset my setting in all my apps had to use this app to do chat with my insurance to find my other apps on my phone were all screwy to make sure nothing was left behind of this thing did reset on my phone over it ,-0.04,0.42777777777777776,negative
in this app recently many hackers activities going on newyork time is say many accounts data is cheating this app,0.5,0.5,negative
just take it down for few months so students don have to deal with it,-0.1777777777777778,0.19444444444444448,negative
do not download downloaded this on my phone and it has ruined my phone uninstalled with 12 hours but since downloaded the app it has restarted on its own repeatedly talked with service technician for my phone and the service rep can do anything but tell me to take it to repair place ,0.6,1.0,positive
super laggy to the point of being unusable meeting recordings also fail to load halfway through super annoying ,-0.15833333333333335,0.6333333333333333,negative
cannot even install this app please help ,0.0,0.0,neutral
tried it on two tables and two laptops and cell done does not work on anything have don waist your unless your device is less than two years old ,-0.033333333333333326,0.13333333333333333,negative
this sucks,-0.3,0.3,negative
bad so bad,-0.6999999999999998,0.6666666666666666,negative
no,0.0,0.0,neutral
hallo warum kann ich die app nicht auf meinen leptop benutzen er zeigt mir immer an das es auf mein handy ist,0.6,0.9,positive
how do sign into meeting,0.0,0.0,neutral
can get into meeting or start one ,0.0,0.0,neutral
still there should be zero rating,0.0,0.0,neutral
badest app ever,0.0,0.0,neutral
it doesnt work on my laptop and it says must use phone ,0.0,0.0,neutral
could not get it to play and very irritated what collosal waste of time,0.0,0.15,neutral
doesnt work,0.0,0.0,neutral
i downloaded this app to use for school and it tells me its installed but there is nothing is there something wrong with the app what should do now cause need it urgently for school how do accept requests if just sign in without downloading the app can fix the problem and let me know ,-0.5,0.9,negative
horrible app,-1.0,1.0,negative
ko thể tải về đc đã tải từ tối qua mà bây giờ vẫn chưa về dở tệ,0.0,0.0,neutral
after 2 days of downloading can find the app even though it says suitable for my mobile and pc,0.55,0.75,negative
hi it shows installed but the icon does not show anywhere on the laptop screen can somebody please help ,0.0,0.0,neutral
faltu app fake useless app hate this app,-0.6,0.7000000000000001,negative
how use it on pc,0.0,0.0,neutral
it too heavy as an app,-0.2,0.5,negative
hi dev have been using this for an year and never had problem after the phone got updated to nougat the app is making the whole phone audio to mute once start the app had to restart to get the audio back am using miui on mi5 appreciate if it can be fixed ,0.10000000000000002,0.20000000000000004,negative
aà,0.0,0.0,neutral
basic features don work correctly particularly link handling you can click meeting url and have the app pop open and audio it will route meetings to bluetooth a2dp and there no way to transfer to handset even if you have headset the ui is also unclear g the speaker control and annoying speaker is on by default finally ui components are hinted in such way that security managers lastpass think meeting numbers are passwords and try to save them ,-0.10555555555555557,0.5597222222222222,negative
i solve math problems with my brother and the picture is always out of focus and there is no way to readjust the focus of the camera miserable ,-1.0,1.0,negative
no,0.0,0.0,neutral
audio issues couldn hear word that was said in the meeting ,0.0,0.0,neutral
amazingly the linux experience has gotten even worse it seems to force itself to all virtual desktops with no way to disable it previously only saw that with wayland but now xorg is doing it too any time share the remote ends shrinks down to an unusably small window that makes it nearly impossible to see any listener reactions mic volume seems to be some form of dev random every time you start the app which is always because killall when m done overall unimpressive 1 star,-0.16358024691358022,0.54320987654321,negative
the app is simple to use and configure however once disconnected it impacts the data connectivity,0.0,0.35714285714285715,neutral
not sure how it work at meeting id ,-0.25,0.8888888888888888,negative
choppy,-0.2,0.2,negative
zoom ain working in uae guess could you please work on that so much need it,0.2,0.2,negative
it is usefully,0.3,0.0,negative
why do you need access to user google drive it may be having personal information ,0.0,0.3,neutral
good,0.7,0.6000000000000001,positive
it is an okay app but could be better because when any participant joins from their android phone their audio is so low if they are using the loudspeaker of their phone think it is an issue with zoom audio algorithms on android devices since other video calling apps don have the same issue the audio gain needs to be increased also when anyone tries to join don make the default audio method is prompt asking which audio source to use since very often non techy participants are expect,0.1392857142857143,0.35714285714285715,negative
when am clicking the sign up button it shows pop up bar which contains message that my internet connection is failed to sign it up don know what to do further please help me with your kind suggestion ,0.033333333333333326,0.5666666666666668,negative
the permissions this app requires don make sense with what it does am not comfortable it poking it nose every area of my phone have to use it for one meeting once done am getting rid of it ,-0.2,0.8,negative
tried using it on multiple devices and was unable to hear the speaker who was not muted according to other meeting attendees very sad to miss this meeting ,-0.31875,0.46875,negative
my professer uses this to do online lectures usually use it on the computer but since it broke had to use tablet instead the audio doesnt work when during the meetings so can hear his lectures,-0.25,0.25,negative
the description mentions screen sharing however am not able to find figure it out so far its basically just watered down version of facetime ,-0.10185185185185186,0.637962962962963,negative
the app is good but too many problems in hearing persons clearly,0.43333333333333335,0.49444444444444446,negative
nice one,0.6,1.0,positive
good,0.7,0.6000000000000001,positive
didn auto mute by default when joined despite showing an indication that was muted an absolute deal breaker adding star because they seem to care about the app and contacted me to address it ,0.2,0.9,negative
doesn work on my s6 edge it used to work before m guessing it is related to an update in the app can sign in but none of my contacts show and keep getting this message constantly appear and disappear that says click to re activate your messenger of course nothing changes when try to click on it tried clearing app data cache reinstalling and nothing works useless when it worked it was particularly annoying to answer call on the computer also running zoom but the phone kept on ringing and ringing ,-0.325,0.45833333333333337,negative
 ,0.0,0.0,neutral
get lost,0.0,0.0,neutral
works ok but the audio are not coming out on my bluetooth headset just working down the wired ,0.17222222222222222,0.3944444444444445,negative
ever since ve updated it it won work please fix or help use samsung tablet and everyone uses this app in my meetings so can change it really need to attend my meeting please help thank u,0.2,0.2,negative
can download,0.0,0.0,neutral
user experience leaves lot to be desired even after video training mobile app and computer app totally different functionally great potential but not intuitive,0.26666666666666666,0.7833333333333333,negative
i don recieve notifications only when open the app they already,0.0,0.75,neutral
it not very user friendly the little buttons at the bottom when m using my tablet it messes with the buttons at the bottom of my tablet so whenever you go to do video share or mean screen share or something like that then it either shuts off or the person can hear you or it just hassle it it really really is it not very user friendly,0.00833333333333334,0.46458333333333335,negative
its sad one of my important meeting got recording with mp4 but there is not video in it don know what to do now ,-0.04999999999999999,1.0,negative
you can screen share all types of google drive file types you can see yourself on video nor flip you camera from front to rear while presenting like you can on ios that was always useful during meeting left ios for android and now forced to use desktop verison to meet because of the lack of features on the mobile app compared to ios which sucks because love to walk and talk what up with that zoom ,0.039999999999999994,0.22000000000000003,negative
i in uae and m not sure if that is the reason why cannot sign in keep on connecting but never connected would appreciate if you can guide and give me any solution with this ,-0.25,0.8888888888888888,negative
price high in india ruppes not support my review ,0.16,0.5399999999999999,negative
السلام ورحمة,0.0,0.0,neutral
app is totally useless without working push notifications can believe an app from company of this size can get something as simple as notifications right mine don work unless have the app open and even with it open in the background it stops receiving notifications after few minutes when logged support ticket with zoom got told it could take weeks to sort how m supposed to tell that to all my staff who use it ,-0.06904761904761905,0.3654761904761905,negative
used it for year each time there is software update to my android 5 my data records disappear so it useless as long term health monitor other than that it was great ,0.03125,0.43125,negative
its good ,0.7,0.6000000000000001,positive
все отличающие от конкурентов возможности платные при регистрации сообщает укажите действительный адрес электронной почты хотя адрес рабочий и введен правильно после отправки жалобы через форму обратной связи никакой реакции ни уведомления о получении сообщения или ответа в приложения для windows ввожу email и пароль после активации конфигурация zoom rooms не настроена для этой учетной записи ,0.0,0.0,neutral
basically works but pales in comparison to the iphone app can figure out for the life of me how to save meeting id even though ve connected to it dozens of times am logged in lots of little quality of life improvements in the ios app that just are not present in this one would be much happier if they even add drop down for recent meeting ids this exists on literally every other platform zoom supports as it stands the only way can connect to meeting is to manually type the id in everytime or open my calendar find the meeting and click zoom link inside of the description ,-0.03350694444444445,0.3892361111111111,negative
zoom has rencently started disconnecting my connection on samsung galaxy 9,0.0,0.0,neutral
first time using the app on my pixel 2 and it caused the phone to shut off due to overheating before that sudden interruption the call was fine ,0.13541666666666669,0.4270833333333333,negative
recent update has caused app to not work with my chrome book version 64 0 3282 190 use zoom frequently and need to find work around or solve the issue ,0.05,0.275,negative
views clean enlarges well would be nice if chats can be shut off chats between attendees annoying as they cover to much of the screen too much on cell phone ,0.11333333333333333,0.6000000000000001,negative
my friend got on and we tried to video chat it it started squeaking really loud couldnt even hear her,0.1,0.8,negative
horreble,0.0,0.0,neutral
sorry but could not hear anyone in the meeting ,-0.5,1.0,negative
app having problem in opening,0.0,0.0,neutral
when it works its good cant ever get the audio to work automatically or at all this hate im missing meeting chats etc have an android and its very difficult ,-0.23750000000000004,0.6375,negative
extremely long download on mobile it not too stable video cuts out sound has static on samsung note 8 ,0.2833333333333334,0.5666666666666668,negative
nice app but could have been lighter than 37 mb,0.6,1.0,positive
impossible to download app several attempts made ,-0.3333333333333333,0.5,negative
not getting notifications for new messages,0.13636363636363635,0.45454545454545453,negative
rxffd trd tx tx rrrxfxxfxftdxxxxdxxt yeah ball where about how you about,0.0,0.0,neutral
this app works awesome,1.0,1.0,positive
i just downloaded zoom onto my tab 3 so that could participate in training webinar however when tried to open the app goot an error message not suppported on this device really ,0.1,0.35,negative
couldn get it to complete the down load just keeps running and running ,-0.02777777777777779,0.34444444444444444,negative
was asked to use zoom for interview ended up using whatsapp video call sorry,-0.5,1.0,negative
not good,-0.35,0.6000000000000001,negative
never notifies me of messages checked my settings and it is set to notify me even when the desktop app is active but it still doesn work ,-0.13333333333333333,0.6,negative
to long to download,-0.05,0.4,negative
i so disappointed that the free version kicks you out after certain amount of time and asks you to pay 15 month they would be better to add extra features to upgrade because now don even wanna use it otherwise call quality was pretty good ,0.18775510204081633,0.6173469387755102,negative
please add samsung and google pen support to the whiteboard share feature ,0.0,0.0,neutral
no other apps use the camera just view them but cant start my camera ,0.0625,0.375,negative
very slow for call in uae need to know person who read messages or not voice and video clarity level need to increase connection issue even full coverage wifi do work more ll suggest all my other team ,0.08374999999999998,0.48625,negative
with free space can not easily still download the app eating up my data can not get it downloaded its getting frustrating ,-0.07222222222222223,0.8444444444444444,negative
please update the app as it consumes 29 of my phone battery,0.0,0.0,neutral
my only wish is that they would not auto start video the moment you opened the app you re going to get people fired ll update to 4 5 stars once you do as google hangouts does to verify you are ready to start into conference and can adjust your settings ,0.1,0.75,negative
no way to find people,0.0,0.0,neutral
doesnt find gmail saved contacts most android users should know not to save your contacts to the phone but to your gmail account it seems zoom only looks for contacts saved to the phone because it cannot find single contact ,0.14285714285714288,0.5714285714285714,negative
good,0.7,0.6000000000000001,positive
i loved the app in the beginning as it allows for more users to group chat and video conference in than most services however in the last few weeks or months for that matter have not been able to receive any of my notifications and it very frustrating will go back and have days worth of conversations that ve missed ,0.19777777777777777,0.4101851851851852,negative
was not good experience for me very choppy video and sound was on good connection ,0.1225,0.4650000000000001,negative
mute doesnt work on pixel was in meeting with my team only to find out everyone knew was in the shower because they could hear the water running not cool ,-0.0875,0.825,negative
can not get on,0.0,0.0,neutral
not able to download its loading for long time,-0.15,0.5125,negative
good but the privacy policy is very scary,0.024999999999999967,0.8,negative
warning latest update rly buggy getting notifications but no messages are updated and shown in app itself force close fixed this but unsure for how long following update made things even worse way to break good messenger devs ,0.14166666666666664,0.46666666666666673,negative
this app took me away from netflix ,0.0,0.0,neutral
ok,0.5,0.5,negative
poor reception,-0.4,0.6,negative
video quality is good,0.7,0.6000000000000001,positive
its not useful,-0.15,0.0,negative
app has so much potential but it so badly constructed and has so many faults it makes it too frustrating to use ,-0.14999999999999997,0.7666666666666666,negative
latest update broke the tablet view ,0.5,0.9,negative
audio quality is poor integration with google calendar is good but does not work with work profile on phone so cannot sign in to zoom from mobile app overall below average experience ,0.037499999999999985,0.4,negative
there are many bugs admin please fix it this is very useful app,0.445,0.25,negative
chettha app,0.0,0.0,neutral
cant install,0.0,0.0,neutral
when m in meeting my video camera pauses when type in the chat ,0.0,0.0,neutral
i couldn click the share screen button on the pop up,0.0,0.0,neutral
just so everyone knows these geniuses have never used this app so they set the default to audio on and video running,0.0,0.0,neutral
tried to download the app wanted to join meeting but it kept on requesting ,0.0,0.0,neutral
y cant hear the sound,0.4,0.4,negative
often getting disconnected,0.0,0.0,neutral
sux,0.0,0.0,neutral
how can change my device,0.0,0.0,neutral
it has been working okay on my desktop until recently whenever set for meeting when its started am unable to use it since when click to open it hides on the task bar at the edge of the computer screen what could be the problem need help because there alot that am missing ,-0.04,0.36,negative
भ गकखव षव ल ,0.0,0.0,neutral
how to download it on pc,0.0,0.0,neutral
an android user here and and cannot connect to the audio at all although have given every permission bad app,-0.6999999999999998,0.6666666666666666,negative
i just can download it it loads and loads ,0.0,0.0,neutral
problem in installation,0.0,0.0,neutral
after installed the app couldn find an icon to open it ,0.0,0.5,neutral
says app will be added to device soon when and where is it ,0.0,0.0,neutral
at the moment wouldn recommend this to anyone please put tutorial up so us elderly people can understand it cant even tell whether m on the right zoom,0.2857142857142857,0.5357142857142857,negative
can get this downloaded to my computer need some help please and will be happy to change rating ,0.8,1.0,positive
too many steps to get this installed,0.5,0.5,negative
cant install in my hp laptop with wndows 7 0 automatically it is installing in my android phone cant fix the prob pls help,0.0,0.0,neutral
wont let my daughter get it she need it for school she wants to call her friends,0.2,0.1,negative
wagner mendes tive grande dificuldade de abrir link mesmo caiu algumas vezes sisma de ficar ligado ao meu telefone quando preciso que fique ligado ao computador gostaria de poder ter um link para ligação direta pois me parece que sempre tenho um caminho ser percorrido ,0.0,0.0,neutral
does it not work for apple ,0.0,0.0,neutral
 can you please tell me how to uninstall zoom as installed it incorrectly and now need to start again thankyou ,0.0,0.0,neutral
installed zoom on my samsung android phone which seemed to work fine then tried to install zoom on my lap top as wel but the download kept telling me it was already installed asssuming my phone so in my wisdom deleted it from my phone then attempted to install it again on my laptop nice try the download window still tells me it is downloaded already which know its not how can download it on my laptop as my only download ,0.37916666666666665,0.75,negative
i want to install this app in my laptop but failed please guide me,-0.5,0.3,negative
if t would ve worked d tell you,0.0,0.0,neutral
zoom not working liky before,0.0,0.0,neutral
it lag to much,0.2,0.2,negative
wsf,0.0,0.0,neutral
just slow for me,-0.30000000000000004,0.39999999999999997,negative
cannot get into the meeting ,0.0,0.0,neutral
que des problèmes de son sur portable et sur ordi ,0.0,0.0,neutral
why only 40 minutes but whatever the schedule time should be given to the client for meeting 40 min is not enough for meeting ,0.0,0.75,neutral
not able to sign up as am unable to set password to login,-0.375,0.5625,negative
taxiways 6,0.0,0.0,neutral
it takes up your batture and it does not insatll or work this app if it work better and not so hard would use it more ofthen,0.23611111111111108,0.5138888888888888,negative
it be great to come with instructions while new to meetings and just as installation occurs ,0.4681818181818182,0.6022727272727273,negative
need to have more time to let people interact with their group meetings more,0.5,0.5,negative
frequently getting stuck,0.1,0.3,negative
dont know yet,0.0,0.0,neutral
very poor directions,-0.52,0.78,negative
unable to share while in meeting ,-0.5,0.5,negative
unable to download the app,-0.5,0.5,negative
hello sir,0.0,0.0,neutral
retr,0.0,0.0,neutral
i barely getting into this app ,0.05,0.1,negative
no good for mi,-0.35,0.6000000000000001,negative
sound was terrible,-0.3,0.7,negative
good,0.7,0.6000000000000001,positive
does not always work perfectly,1.0,1.0,positive
can understand the process,0.0,0.0,neutral
zoom share feature is lacking the interchangeable share must exit one before using the other share options zoom should allow switching between share features also when share youtube video zoom mobile only display the link this is bad please fix this so the shared youtube thumbnail is displayed this is the industry standard no screen capture whiteboard cannot import images or pdf files cannot share files no dynamic share switching ,-0.16499999999999998,0.4416666666666666,negative
finding it hard to download app,-0.2916666666666667,0.5416666666666666,negative
no way to test or change audio settings,0.0,0.0,neutral
taking hours to load,0.0,0.0,neutral
what is the 3078 error code ,0.0,0.0,neutral
i unable to download it,-0.5,0.5,negative
